hour,Rub21,ediyes,Luis36995,RichRico,dannykath
00,0,0,0,0,296
01,0,0,0,0,0
02,0,0,0,0,0
03,0,0,0,0,0
04,0,0,0,0,0
05,0,0,0,0,0
06,0,0,0,0,0
07,0,0,0,0,0
08,0,0,0,0,0
09,0,0,69,0,0
10,0,0,97,0,36
11,0,0,148,0,69
12,0,0,141,15,56
13,0,0,133,0,59
14,0,0,93,2,57
15,0,0,93,46,86
16,0,0,26,31,63
16,0,0,117,29,13
18,0,0,0,0,0
19,0,0,0,29,0
20,0,0,0,23,48
21,0,0,0,37,18
22,0,0,0,0,46
23,0,0,0,3,48
