hour,Rub21,ediyes,Luis36995,RichRico,dannykath
00,0,0,0,0,0
01,0,0,0,0,0
02,0,0,0,0,0
03,0,0,0,0,0
04,0,0,0,0,0
05,0,0,0,0,0
06,0,0,0,0,0
07,0,0,0,0,0
08,0,10,0,0,0
09,0,12,13,6,23
10,0,1,17,29,41
11,0,4,14,11,70
12,0,3,34,102,93
13,0,79,125,107,45
14,0,26,149,11,64
15,0,3,17,60,66
16,0,0,36,56,49
17,0,0,88,84,56
18,1,17,0,0,0
19,0,93,0,49,0
20,0,13,0,0,0
21,0,0,0,0,43
22,0,0,0,0,50
23,0,0,0,0,13
