hour,Rub21,ediyes,Luis36995,RichRico,dannykath
00,0,0,0,0,0
01,0,0,0,0,0
02,0,0,0,0,0
03,0,0,0,0,0
04,0,0,0,0,0
04,0,0,0,0,0
06,0,0,0,0,0
07,0,0,0,0,0
08,0,0,89,0,0
09,0,0,149,0,36
10,0,0,259,2,29
11,0,1,252,11,17
12,0,11,169,107,30
