hour,Rub21,ediyes,Luis36995,RichRico,dannykath
00,0,0,0,65,3
01,0,0,0,0,0
02,0,0,0,0,4
03,0,0,0,0,0
04,0,0,0,0,0
05,0,0,0,0,4
06,0,0,0,0,19
07,0,0,0,0,59
08,0,0,0,0,35
09,0,0,88,5,107
10,0,67,142,124,12
11,0,64,120,26,87
12,0,41,199,124,17
13,0,12,202,0,62
14,0,69,121,0,48
15,24,60,101,140,66
16,0,38,227,126,54
17,0,38,254,32,42
18,0,22,31,48,0
19,0,0,0,60,0
20,0,0,0,0,0
21,0,0,0,0,0
22,0,0,0,0,0
23,0,0,0,0,0
