hour,Rub21,ediyes,Luis36995,RichRico,dannykath
16,0,126,181,131,0
17,5,20,77,105,0
18,0,0,15,0,0
19,0,0,0,0,0
20,6,0,0,0,0
21,0,0,0,72,0
22,0,0,0,159,0
23,0,0,0,128,32
