hour,Rub21,ediyes,Luis36995,RichRico,dannykath
00,0,0,0,0,0
01,0,0,0,0,0
02,0,0,0,0,0
03,0,0,0,0,0
04,0,0,0,0,0
05,0,0,0,0,0
06,0,0,0,0,0
07,0,0,0,0,0
08,0,0,62,0,0
09,0,0,238,5,0
10,6,0,140,10,0
11,0,65,92,27,45
12,13,15,136,131,47
13,0,45,184,60,74
14,0,55,77,119,49
15,0,29,72,63,56
16,1,74,60,131,76
16,208,129,0,105,60
18,98,138,0,184,0
19,0,168,0,49,5
20,0,0,0,0,71
21,0,0,0,0,42
22,0,0,0,0,12
23,0,0,0,0,0
